Match ID,Innings,Over,runs_in_over,wickets_in_over,balls_in_over,target_score,cum_runs_before_over,cum_wickets_before_over,cum_balls_before_over,overs_completed_before,balls_remaining_before_over,run_rate_so_far,runs_remaining,overs_remaining,req_run_rate,runs_last_over,runs_last_3_overs,wickets_last_3_overs,danger_over
335989,1,9,8,0,6,209,64,2,48,8,72,8.0,145,11,13.181818181818182,5.0,24.0,0.0,0
335989,1,10,10,0,6,209,72,2,54,9,66,8.0,137,10,13.7,8.0,19.0,0.0,0
335989,1,11,14,0,6,209,82,2,60,10,60,8.2,127,9,14.11111111111111,10.0,23.0,0.0,1
335989,1,12,16,0,6,209,96,2,66,11,54,8.727272727272727,113,8,14.125,14.0,32.0,0.0,1
335989,1,13,11,0,6,209,112,2,72,12,48,9.333333333333334,97,7,13.857142857142858,16.0,40.0,0.0,0
335989,1,14,14,0,6,209,123,2,78,13,42,9.461538461538462,86,6,14.333333333333334,11.0,41.0,0.0,1
335989,1,15,6,1,6,209,137,2,84,14,36,9.785714285714286,72,5,14.4,14.0,41.0,0.0,1
335989,1,16,15,0,6,209,143,3,90,15,30,9.533333333333333,66,4,16.5,6.0,31.0,1.0,1
335989,1,17,10,0,6,209,158,3,96,16,24,9.875,51,3,17.0,15.0,35.0,1.0,0
335989,1,18,14,0,6,209,168,3,102,17,18,9.882352941176471,41,2,20.5,10.0,31.0,1.0,1
335989,1,19,12,1,6,209,182,3,108,18,12,10.11111111111111,27,1,27.0,14.0,39.0,0.0,1
335989,1,20,14,1,6,209,194,4,114,19,6,10.210526315789474,15,0,0.0,12.0,36.0,1.0,1
335989,2,1,9,1,6,209,0,0,0,0,120,0.0,209,19,11.0,0.0,0.0,0.0,1
335989,2,2,4,0,6,209,9,1,6,1,114,9.0,200,18,11.11111111111111,9.0,9.0,1.0,0
335989,2,3,12,0,6,209,13,1,12,2,108,6.5,196,17,11.529411764705882,4.0,13.0,1.0,1
335989,2,4,6,1,6,209,25,1,18,3,102,8.333333333333334,184,16,11.5,12.0,25.0,1.0,1
335989,2,5,19,0,6,209,31,2,24,4,96,7.75,178,15,11.866666666666667,6.0,22.0,1.0,1
335989,2,6,2,0,6,209,50,2,30,5,90,10.0,159,14,11.357142857142858,19.0,37.0,1.0,0
335989,2,7,5,0,6,209,52,2,36,6,84,8.666666666666666,157,13,12.076923076923077,2.0,27.0,1.0,0
335989,2,8,11,0,6,209,57,2,42,7,78,8.142857142857142,152,12,12.666666666666666,5.0,26.0,0.0,0
335989,2,9,7,0,6,209,68,2,48,8,72,8.5,141,11,12.818181818181818,11.0,18.0,0.0,0
335989,2,10,8,1,6,209,75,2,54,9,66,8.333333333333334,134,10,13.4,7.0,23.0,0.0,1
335989,2,11,7,0,6,209,83,3,60,10,60,8.3,126,9,14.0,8.0,26.0,1.0,0
335989,2,12,9,1,6,209,90,3,66,11,54,8.181818181818182,119,8,14.875,7.0,22.0,1.0,1
335989,2,13,11,0,6,209,99,4,72,12,48,8.25,110,7,15.714285714285714,9.0,24.0,2.0,0
335989,2,14,20,0,6,209,110,4,78,13,42,8.461538461538462,99,6,16.5,11.0,27.0,1.0,1
335989,2,15,4,1,6,209,130,4,84,14,36,9.285714285714286,79,5,15.8,20.0,40.0,1.0,1
335989,2,16,13,1,6,209,134,5,90,15,30,8.933333333333334,75,4,18.75,4.0,35.0,1.0,1
335989,2,17,21,0,6,209,147,6,96,16,24,9.1875,62,3,20.666666666666668,13.0,37.0,2.0,1
335989,2,18,13,0,6,209,168,6,102,17,18,9.882352941176471,41,2,20.5,21.0,38.0,2.0,1
335989,2,19,9,1,6,209,181,6,108,18,12,10.055555555555555,28,1,28.0,13.0,47.0,1.0,1
335989,2,20,12,0,6,209,190,7,114,19,6,10.0,19,0,0.0,9.0,43.0,1.0,1
335993,1,1,8,0,6,148,0,0,0,0,120,0.0,148,19,7.7894736842105265,0.0,0.0,0.0,0
335993,1,2,16,0,6,148,8,0,6,1,114,8.0,140,18,7.777777777777778,8.0,8.0,0.0,1
335993,1,3,8,2,6,148,24,0,12,2,108,12.0,124,17,7.294117647058823,16.0,24.0,0.0,1
335993,1,4,6,0,6,148,32,2,18,3,102,10.666666666666666,116,16,7.25,8.0,32.0,2.0,0
335993,1,5,12,0,6,148,38,2,24,4,96,9.5,110,15,7.333333333333333,6.0,30.0,2.0,1
335993,1,6,11,1,6,148,50,2,30,5,90,10.0,98,14,7.0,12.0,26.0,2.0,1
335993,1,7,2,0,6,148,61,3,36,6,84,10.166666666666666,87,13,6.6923076923076925,11.0,29.0,1.0,0
335993,1,8,2,1,6,148,63,3,42,7,78,9.0,85,12,7.083333333333333,2.0,25.0,1.0,1
335993,1,9,4,0,6,148,65,4,48,8,72,8.125,83,11,7.545454545454546,2.0,15.0,2.0,0
335993,1,10,3,1,6,148,69,4,54,9,66,7.666666666666667,79,10,7.9,4.0,8.0,1.0,1
335993,1,11,3,0,6,148,72,5,60,10,60,7.2,76,9,8.444444444444445,3.0,9.0,2.0,0
335993,1,12,4,0,6,148,75,5,66,11,54,6.818181818181818,73,8,9.125,3.0,10.0,1.0,0
335993,1,13,8,0,6,148,79,5,72,12,48,6.583333333333333,69,7,9.857142857142858,4.0,10.0,1.0,0
335993,1,14,5,0,6,148,87,5,78,13,42,6.6923076923076925,61,6,10.166666666666666,8.0,15.0,0.0,0
335993,1,15,12,1,6,148,92,5,84,14,36,6.571428571428571,56,5,11.2,5.0,17.0,0.0,1
335993,1,16,4,0,6,148,104,6,90,15,30,6.933333333333334,44,4,11.0,12.0,25.0,1.0,0
335993,1,17,11,0,6,148,108,6,96,16,24,6.75,40,3,13.333333333333334,4.0,21.0,1.0,0
335993,1,18,7,1,6,148,119,6,102,17,18,7.0,29,2,14.5,11.0,27.0,1.0,1
335993,1,19,8,1,6,148,126,7,108,18,12,7.0,22,1,22.0,7.0,22.0,1.0,1
335993,1,20,13,1,6,148,134,8,114,19,6,7.052631578947368,14,0,0.0,8.0,26.0,2.0,1
335993,2,1,5,0,6,148,0,0,0,0,120,0.0,148,19,7.7894736842105265,0.0,0.0,0.0,0
335993,2,2,3,0,6,148,5,0,6,1,114,5.0,143,18,7.944444444444445,5.0,5.0,0.0,0
